iter	Logloss
359	0.3620840153
360	0.3617493521
361	0.3614529482
362	0.3610519049
363	0.3604258619
364	0.3601188667
365	0.3599995331
366	0.3595848698
367	0.3590935071
368	0.3587808649
369	0.3585098334
370	0.3581139552
371	0.3578427165
372	0.3573539029
373	0.3569693724
374	0.3568559477
375	0.3566136452
376	0.3561781067
377	0.3557696262
378	0.3553270948
379	0.3548531827
380	0.3544539114
381	0.3540128911
382	0.3538695629
383	0.353467105
384	0.3530306834
385	0.3527236404
386	0.3522822511
387	0.3521768208
388	0.3518618117
389	0.3517408459
390	0.3512256017
391	0.3508676754
392	0.3506470323
393	0.3503051466
394	0.349882429
395	0.3494505632
396	0.348989462
397	0.3485687467
398	0.347795787
399	0.3475324578
400	0.3474734543
401	0.3472174248
402	0.3466363185
403	0.3463186688
404	0.3460594386
405	0.3457973279
406	0.345405586
407	0.3451211364
408	0.3447941314
409	0.3445907739
410	0.3439608271
411	0.3435706794
412	0.3434137474
413	0.3430753652
414	0.3428590154
415	0.3424066452
416	0.3421428078
417	0.3417578693
418	0.3414781171
419	0.3409999377
420	0.3408249348
421	0.3406061541
422	0.3404584972
423	0.3402936282
424	0.339926702
425	0.339829641
426	0.3393258809
427	0.3389662283
428	0.3387907066
429	0.3384905774
430	0.3380483937
431	0.3376127345
432	0.3372816517
433	0.3371164699
434	0.3366490551
435	0.3361868071
436	0.335941325
437	0.3356089294
438	0.3351413405
439	0.3349275008
440	0.334720893
441	0.3343536111
442	0.333954746
443	0.3334473673
444	0.333164087
445	0.3328647753
446	0.3325721783
447	0.332246829
448	0.3319754987
449	0.3316012772
450	0.331481502
451	0.3311813625
452	0.3308605313
453	0.3305140638
454	0.3302131133
455	0.3300043488
456	0.3299071215
457	0.3295122819
458	0.3292987979
459	0.3291278573
460	0.3287137721
461	0.3284559702
462	0.3279681614
463	0.3277811975
464	0.3276371794
465	0.3275339383
466	0.3271326283
467	0.3268076939
468	0.3266763533
469	0.3264956574
470	0.3263526518
471	0.3262541368
472	0.3261312331
473	0.3259608153
474	0.3256448353
475	0.3252580582
476	0.3247255661
477	0.3244221928
478	0.3242969833
479	0.3239301285
480	0.3236736648
481	0.3234164718
482	0.3232934953
483	0.3230823028
484	0.3230112353
485	0.3227650486
486	0.3225921264
487	0.3222730892
488	0.3220778365
489	0.3218988743
490	0.3217042225
491	0.3215710878
492	0.3214141186
493	0.3210926424
494	0.3207768426
495	0.3205138048
496	0.320415832
497	0.3201981765
498	0.3199288492
499	0.3196816139
500	0.3192943305
501	0.3190088327
502	0.3186471834
503	0.3184012182
504	0.3181707267
505	0.3178363082
506	0.3174826326
507	0.3171668233
508	0.3168912129
509	0.3164172953
510	0.3162164195
511	0.3160341927
512	0.3156019725
513	0.3153467697
514	0.31502164
515	0.3149469506
516	0.3147040208
517	0.3144430662
518	0.3141584573
519	0.3137784692
520	0.3136097634
521	0.3133495174
522	0.3131150798
523	0.3129761329
524	0.3128225833
525	0.3125355593
526	0.3123840351
527	0.3123042911
528	0.3118940147
529	0.3116153578
530	0.3114729461
531	0.3112549186
532	0.310976506
533	0.3107855316
534	0.3105927816
535	0.3103991316
536	0.3102427552
537	0.3098380396
538	0.3094695354
539	0.3092761849
540	0.3090575153
541	0.3088104
542	0.308545532
543	0.3084535187
544	0.3082399839
545	0.3080052962
546	0.3078008452
547	0.3076533083
548	0.3073952463
549	0.3072261317
550	0.3070471754
551	0.3068242467
552	0.3065759102
553	0.3064203005
554	0.306233356
555	0.3058993772
556	0.305548931
557	0.3051927005
558	0.3049940846
559	0.3048984846
560	0.3047341075
561	0.3044800979
562	0.3042345926
563	0.3041640866
564	0.3037817268
565	0.3035008584
566	0.3032940299
567	0.3028861586
568	0.3025050759
569	0.3022599195
570	0.3020613249
571	0.3019615989
572	0.3016161904
573	0.3014530356
574	0.3012617808
575	0.3008002712
576	0.3005623497
577	0.3003381134
578	0.3002198442
579	0.2998288197
580	0.2995786656
581	0.2993363414
582	0.2990302639
583	0.298966733
584	0.2988147434
585	0.2986572929
586	0.2985721359
587	0.2984162311
588	0.298261109
589	0.2980878717
590	0.2978425968
591	0.2976278129
592	0.2972900547
593	0.2972094078
594	0.2970433537
595	0.2969712177
596	0.2967858782
597	0.2965346711
598	0.2961917486
599	0.296108208
600	0.2958943454
601	0.2957508332
602	0.2954468422
603	0.2951191237
604	0.2949430225
605	0.2946780364
606	0.2944378338
607	0.2940525758
608	0.2938026466
609	0.2937347473
610	0.293446993
611	0.293308101
612	0.2930985277
613	0.2929862263
614	0.292847587
615	0.2927637774
616	0.2926674529
617	0.2925139861
618	0.292431817
619	0.2921800683
620	0.2920014884
621	0.2918838888
622	0.291614396
623	0.2914336195
624	0.2913194648
625	0.291202441
626	0.2910471908
627	0.2909859588
628	0.2907259983
629	0.2904761176
630	0.2902206455
631	0.2900336675
632	0.2899747829
633	0.2897883484
634	0.2894500906
635	0.289165424
636	0.2889927593
637	0.2886985
638	0.2885604357
639	0.2884150828
640	0.2882464421
641	0.2880358071
642	0.2877181897
643	0.2874871445
644	0.2873152112
645	0.2870314368
646	0.2867417468
647	0.2864566865
648	0.2862989696
649	0.2860299592
650	0.2858463717
651	0.2855083891
652	0.2852488896
653	0.2851231606
654	0.285038873
655	0.2848085754
656	0.2846729917
657	0.2844971617
658	0.2841382946
659	0.2839968101
660	0.2838275536
661	0.2837010902
662	0.2834054577
663	0.2832378804
664	0.2831313684
665	0.282895008
666	0.2826406102
667	0.2823878814
668	0.2822274617
669	0.2820708634
670	0.2818457815
671	0.2815123944
672	0.2811647896
673	0.2810068197
674	0.2808499447
675	0.2804876522
676	0.2801751333
677	0.2799924531
678	0.2799123989
679	0.2798179027
680	0.2797219569
681	0.2796017925
682	0.2793526098
683	0.2792438166
684	0.2790062803
685	0.2788867413
686	0.2788057629
687	0.2784106746
688	0.2782438721
689	0.2780924425
690	0.2777203432
691	0.277550768
692	0.2773701004
693	0.2772608547
694	0.2770704024
695	0.2769329614
696	0.2767340504
697	0.2765480744
698	0.2764498702
699	0.2762744596
700	0.2760529754
701	0.275848566
702	0.2756614788
703	0.2756205091
704	0.2754586758
705	0.275198347
706	0.2750046415
707	0.2746781125
708	0.2743218445
709	0.2741946232
710	0.2740895469
711	0.2738740091
712	0.273749598
713	0.2734812336
714	0.2733204961
715	0.27321633
716	0.2730075562
717	0.2727280686
718	0.2725675812
719	0.2723334991
720	0.2722000458
721	0.2720592302
722	0.2719814365
723	0.2719007127
724	0.2717057702
725	0.2714456908
726	0.2713842407
727	0.2712362997
728	0.2711684513
729	0.2708593416
730	0.2706879856
731	0.2706048628
732	0.2705077198
733	0.2703132129
734	0.2701436141
735	0.2699395985
736	0.2698054093
737	0.269617119
738	0.2694710015
739	0.2692204184
740	0.2691221789
741	0.2690529161
742	0.2689295367
743	0.2687856378
744	0.2685953563
745	0.2683889881
746	0.2682697596
747	0.2680491967
748	0.2679659849
749	0.2678284093
750	0.2676921457
751	0.2674289905
752	0.2672253464
753	0.2669268265
754	0.2666676766
755	0.2665698756
756	0.2664006065
757	0.2662728716
758	0.2660827033
759	0.265883846
760	0.2657543899
761	0.2654697064
762	0.2652348081
763	0.2650348272
764	0.2647730671
765	0.2644227949
766	0.2643426966
767	0.2642777628
768	0.2641574063
769	0.2640113198
770	0.2637408442
771	0.2636596914
772	0.2635128748
773	0.2633406711
774	0.2631599491
775	0.2627795081
776	0.2626935266
777	0.2626026854
778	0.2624847286
779	0.2622319798
780	0.2620636328
781	0.2619839877
782	0.2618613795
783	0.2616533387
784	0.2614973783
785	0.2613308224
786	0.2611230737
787	0.2609390248
788	0.2607031766
789	0.2604720431
790	0.2603761885
791	0.2601461212
792	0.2600188947
793	0.259781382
794	0.2597141899
795	0.2595627668
796	0.2594425759
797	0.2591879463
798	0.2589349887
799	0.2587950274
800	0.2587346103
801	0.2585810474
802	0.2584109637
803	0.2582046
804	0.2579647428
805	0.2578611094
806	0.257749673
807	0.2576410483
808	0.2575115194
809	0.2574378885
810	0.257339699
811	0.2570956327
812	0.2568216368
813	0.2567231236
814	0.2564035264
815	0.2562529754
816	0.2561050153
817	0.2559445316
818	0.2557035685
819	0.2555917663
820	0.2554436584
821	0.2552707166
822	0.2551243187
823	0.2549916454
824	0.2546319145
825	0.254527457
826	0.2543742348
827	0.2541470535
828	0.2541113731
829	0.2540494454
830	0.2539812503
831	0.2537458657
832	0.2536840461
833	0.2536248366
834	0.2533097966
835	0.2531902062
836	0.2529962777
837	0.2527810526
838	0.2526465897
839	0.2524413349
840	0.2523006966
841	0.2521340575
842	0.2520599505
843	0.2518489221
844	0.2516727367
845	0.2515468436
846	0.2513737509
847	0.25127132
848	0.2510293001
849	0.2509261289
850	0.2508165115
851	0.2507431882
852	0.2506629015
853	0.2505550149
854	0.2504015639
855	0.2502032872
856	0.2500527648
857	0.2499741367
858	0.2498847334
859	0.2497657331
860	0.2496537529
861	0.2494781569
862	0.2492364005
863	0.2491357106
864	0.2489918073
865	0.2489076639
866	0.2488119087
867	0.2486761095
868	0.2485409901
869	0.2483177332
870	0.2481486834
871	0.2479473787
872	0.2478116206
873	0.2476710994
874	0.2475108401
875	0.247307227
876	0.2472243648
877	0.2471204518
878	0.2468639244
879	0.246784286
880	0.2466553126
881	0.2463920757
882	0.246265429
883	0.2460780129
884	0.2459012564
885	0.2458326044
886	0.2457441445
887	0.2456653317
888	0.2455762426
889	0.2454089979
890	0.2451867336
891	0.2450979602
892	0.2450098182
893	0.2449412221
894	0.2447823308
895	0.2446789293
896	0.2444694057
897	0.24417817
898	0.2440687646
899	0.2439937386
900	0.2438774315
901	0.2436046902
902	0.2434116256
903	0.2432235332
904	0.243105282
905	0.2428627691
906	0.2427524343
907	0.2426102441
908	0.2425523776
909	0.242427564
910	0.2422992234
911	0.2422215284
912	0.2420984499
913	0.2419718261
914	0.2417964457
915	0.2416743504
916	0.2415167432
917	0.2414151437
918	0.2412813409
919	0.2412147412
920	0.2409962688
921	0.2407809106
922	0.2406402311
923	0.2405194066
924	0.2404118526
925	0.2403370503
926	0.2402102116
927	0.240098316
928	0.2398306749
929	0.2396038027
930	0.2394597567
931	0.2392861122
932	0.23914405
933	0.23892853
934	0.2388302846
935	0.2386217905
936	0.2384677618
937	0.2382807629
938	0.2380779172
939	0.23794823
940	0.2377547953
941	0.2376458564
942	0.2375862893
943	0.2373976126
944	0.2372984871
945	0.2371964859
946	0.2371027808
947	0.2368875448
948	0.2366633813
949	0.2363836993
950	0.2362832214
951	0.236190609
952	0.2360460346
953	0.2359026464
954	0.2358230411
955	0.235684478
956	0.235505837
957	0.2353530475
958	0.2352992649
959	0.2352033603
960	0.2350680622
961	0.2349958383
962	0.2349205253
963	0.2348290579
964	0.2347142638
965	0.2346145113
966	0.2345406317
967	0.2344504462
968	0.2342585252
969	0.2341816749
970	0.2340982968
971	0.2339658082
972	0.2336737881
973	0.2335422539
974	0.2333448228
975	0.2331793948
976	0.2330320757
977	0.2329767538
978	0.2327715821
979	0.232708368
980	0.2326033373
981	0.2325075865
982	0.2323232278
983	0.232264947
984	0.2320700994
985	0.2319671416
986	0.2318422191
987	0.2316418077
988	0.2315258406
989	0.2314026922
990	0.2312977505
991	0.2311530305
992	0.2310246693
993	0.2308613761
994	0.2307550738
995	0.2306862164
996	0.230530939
997	0.2302728707
998	0.2300813345
999	0.2299899547
